9.514846492272562628e+00 3.790062689366035187e+01 1.462226289782192801e+01 1.238138100604843927e+01
8.448366874094560330e+00 3.621472868085346164e+01 1.393070799063119836e+01 1.075882210859306731e+01
7.463583515968869264e+00 3.456797308992145190e+01 1.326013475766492178e+01 9.250373655928651573e+00
6.560270842121949997e+00 3.296391801108767083e+01 1.261096109275750976e+01 7.941112107871754588e+00
5.741504233410386959e+00 3.140170665127741501e+01 1.198408368446044037e+01 6.865463121259915980e+00
5.012755669379492574e+00 2.988025787958229529e+01 1.137877927203605211e+01 6.011420094153228533e+00
4.372488473962080846e+00 2.839848619119879558e+01 1.079470583362753899e+01 5.340529646661771324e+00
3.818287983800013663e+00 2.695785508114113327e+01 1.023152026616991961e+01 4.812792118357812399e+00
3.350726433189223030e+00 2.555905507338375315e+01 9.688717545159159172e+00 4.395638972039757064e+00
2.964949975615899902e+00 2.419967662932324615e+01 9.167008654472908802e+00 4.045980952427342459e+00
2.660288323548482659e+00 2.288294913198993186e+01 8.665137690809128657e+00 3.748928207705649385e+00
2.431423476589334332e+00 2.160468595450667806e+01 8.182986629107245946e+00 3.484108992519257431e+00
2.274711641749183499e+00 2.037176279640754828e+01 7.720785762155298215e+00 3.245480761321503760e+00
2.186447538872926977e+00 1.917638594706319921e+01 7.278314924959330412e+00 3.027108358155005341e+00
2.160791865981486204e+00 1.802237551406082616e+01 6.855346286075418405e+00 2.829673240156670211e+00
2.192774657607237110e+00 1.691185215760683747e+01 6.451678657952387042e+00 2.653306145990863563e+00
2.277095493265692383e+00 1.583903791245798409e+01 6.066619805983577862e+00 2.501863538768927420e+00
2.409801658911934652e+00 1.480619020845583478e+01 5.700685026958594470e+00 2.380239533005596542e+00
2.729693134579951774e+00 1.381590043231863518e+01 5.353218861411832563e+00 2.288385393031280746e+00
2.530406747953906077e+00 1.286464825204592444e+01 5.024818947731224839e+00 2.231167415359817774e+00
2.380491759651057304e+00 1.195594718503183174e+01 4.715198371029954316e+00 2.210180647700230150e+00
2.278797798779144124e+00 1.108553423472173449e+01 4.412563809280829474e+00 2.226855446233802382e+00
2.223067101045592686e+00 1.025666511856366192e+01 4.138550917968851550e+00 2.281794377764477577e+00
2.211099374458756373e+00 9.469454405197204494e+00 3.877544878490747138e+00 2.373926219043574815e+00
2.240835658975572464e+00 8.721360972996885508e+00 3.633825499368987799e+00 2.500990827699786756e+00
2.309414053229818187e+00 8.013992190688256301e+00 3.408849927127093782e+00 2.660192161083605455e+00
2.415258929815721878e+00 7.348913976077440680e+00 3.202644977432099971e+00 2.848318649856339313e+00
